iter	Passed	Remaining
0	66	65938
1	127	63847
2	185	61646
3	245	61049
4	305	60868
5	364	60429
6	425	60298
7	484	60037
8	536	59128
9	598	59232
10	660	59418
11	729	60027
12	789	59935
13	847	59693
14	909	59742
15	969	59602
16	1032	59706
17	1093	59645
18	1160	59928
19	1221	59861
20	1285	59936
21	1344	59784
22	1426	60599
23	1491	60645
24	1548	60382
25	1610	60340
26	1676	60424
27	1722	59800
28	1774	59402
29	1837	59414
30	1878	58715
31	1920	58107
32	1983	58124
33	2034	57791
34	2092	57705
35	2165	57999
36	2222	57834
37	2274	57575
38	2321	57215
39	2387	57301
40	2435	56958
41	2497	56963
42	2563	57057
43	2619	56919
44	2679	56855
45	2731	56649
46	2794	56659
47	2864	56803
48	2916	56612
49	2979	56608
50	3040	56579
51	3107	56656
52	3172	56677
53	3223	56477
54	3297	56653
55	3350	56488
56	3413	56473
57	3473	56415
58	3548	56588
59	3619	56702
60	3682	56691
61	3740	56590
62	3817	56770
63	3880	56755
64	3944	56742
65	4005	56684
66	4078	56789
67	4145	56818
68	4217	56910
69	4287	56957
70	4359	57038
71	4427	57065
72	4620	58668
73	4676	58524
74	4744	58511
75	4809	58478
76	4871	58397
77	4934	58330
78	5009	58405
79	5079	58413
80	5152	58454
81	5215	58386
82	5279	58323
83	5330	58130
84	5415	58294
85	5483	58274
86	5552	58269
87	5619	58241
88	5691	58258
89	5760	58240
90	5817	58115
91	5892	58155
92	5950	58030
93	6012	57950
94	6080	57925
95	6134	57765
96	6195	57674
97	6255	57575
98	6326	57574
99	6388	57494
100	6456	57470
101	6516	57373
102	6579	57294
103	6645	57250
104	6698	57092
105	6758	57001
106	6824	56957
107	6889	56899
108	6948	56801
109	7018	56783
110	7081	56718
111	7151	56701
112	7215	56636
113	7249	56339
114	7315	56294
115	7375	56209
116	7440	56152
117	7500	56064
118	7569	56037
119	7633	55977
120	7696	55911
121	7756	55821
122	7831	55837
123	7898	55801
124	7961	55733
125	8032	55716
126	8092	55631
127	8155	55560
128	8213	55456
129	8276	55386
130	8344	55356
131	8430	55435
132	8500	55415
133	8561	55328
134	8628	55286
135	8692	55224
136	8756	55161
137	8834	55180
138	8895	55100
139	8948	54967
140	9007	54873
141	9075	54837
142	9140	54778
143	9209	54747
144	9282	54733
145	9339	54629
146	9402	54557
147	9464	54482
148	9534	54455
149	9611	54466
150	9672	54385
151	9737	54325
152	9796	54234
153	9853	54132
154	9924	54105
155	9986	54028
156	10052	53978
157	10112	53892
158	10172	53807
159	10239	53755
160	10306	53709
161	10371	53648
162	10441	53616
163	10536	53712
164	10612	53705
